epoch,auc,binary_accuracy,learning_rate,loss,precision,recall,val_auc,val_binary_accuracy,val_loss,val_precision,val_recall
0,0.5681884288787842,0.6213333606719971,9.999999747378752e-05,0.6793781518936157,0.4030418395996094,0.2826666533946991,0.8035452365875244,0.6909998655319214,0.5826930999755859,0.5854800939559937,0.25
1,0.633553147315979,0.665361225605011,9.999999747378752e-05,0.624075710773468,0.49663275480270386,0.2888333201408386,0.8007667660713196,0.671333372592926,0.5791600942611694,0.5061511397361755,0.5759999752044678
2,0.6721916198730469,0.6809723377227783,9.999999747378752e-05,0.597176194190979,0.5359586477279663,0.31983333826065063,0.824775218963623,0.6977775692939758,0.5113297700881958,0.5330344438552856,0.753000020980835
3,0.6992456316947937,0.6986666917800903,9.999999747378752e-05,0.5738363862037659,0.5776280164718628,0.35716667771339417,0.820244312286377,0.7023333311080933,0.527601420879364,0.5588558912277222,0.5080000162124634
4,0.7220204472541809,0.7068055272102356,9.999999747378752e-05,0.5567890405654907,0.5943088531494141,0.37941667437553406,0.8440518975257874,0.741777777671814,0.46386343240737915,0.6186797618865967,0.5873333215713501
5,0.7336921691894531,0.7095279097557068,9.999999747378752e-05,0.5461128950119019,0.597031831741333,0.3955833315849304,0.8263363242149353,0.7113333940505981,0.5163770914077759,0.5779674053192139,0.49666666984558105
6,0.7453155517578125,0.7162219882011414,9.999999747378752e-05,0.5350951552391052,0.6100419163703918,0.41208332777023315,0.8190416693687439,0.7340001463890076,0.5215193033218384,0.6335979104042053,0.4790000021457672
7,0.7620694041252136,0.7270275950431824,9.999999747378752e-05,0.5196447372436523,0.6316171884536743,0.4345000088214874,0.8485968708992004,0.6846667528152466,0.6054403781890869,0.5280470848083496,0.5083333253860474
8,0.7717953324317932,0.7337779402732849,9.999999747378752e-05,0.5120242238044739,0.6432977318763733,0.4519166648387909,0.8556311130523682,0.6980000734329224,0.5510864853858948,0.5497881174087524,0.5189999938011169
9,0.7784513831138611,0.7375555634498596,9.999999747378752e-05,0.5042851567268372,0.6507561206817627,0.45899999141693115,0.8634411692619324,0.7809997797012329,0.4156637489795685,0.6878422498703003,0.628000020980835
10,0.7841063141822815,0.7415000796318054,9.999999747378752e-05,0.4995653033256531,0.6576914191246033,0.46816667914390564,0.8716035485267639,0.7363331913948059,0.49502110481262207,0.6187949776649475,0.5443333387374878
11,0.7910802960395813,0.7457780241966248,9.999999747378752e-05,0.4940548837184906,0.6628918051719666,0.4829166531562805,0.8780617117881775,0.8176670074462891,0.3938371241092682,0.7614467144012451,0.6596666574478149
12,0.7967208027839661,0.7498887777328491,9.999999747378752e-05,0.4871521294116974,0.6693421006202698,0.4934166669845581,0.8679905533790588,0.7791111469268799,0.4331025779247284,0.6995267868041992,0.5913333296775818
13,0.8049232363700867,0.754888653755188,9.999999747378752e-05,0.47918805480003357,0.6783468127250671,0.503333330154419,0.8726627230644226,0.778110921382904,0.42260611057281494,0.6830959916114807,0.6236666440963745
14,0.8096308708190918,0.7579167485237122,9.999999747378752e-05,0.47471436858177185,0.6848205327987671,0.5071666836738586,0.8861997127532959,0.8104443550109863,0.37752145528793335,0.7392751574516296,0.6663333177566528
15,0.8143792152404785,0.7650277614593506,9.999999747378752e-05,0.46939435601234436,0.6955705285072327,0.5247499942779541,0.8891689777374268,0.780333399772644,0.4266536831855774,0.6823529601097107,0.6380000114440918
16,0.8200063109397888,0.7677774429321289,9.999999747378752e-05,0.4649543762207031,0.6965442895889282,0.5375000238418579,0.8937062621116638,0.8258888125419617,0.36534014344215393,0.7596955299377441,0.6986666917800903
17,0.8231797814369202,0.7694444060325623,9.999999747378752e-05,0.4597817361354828,0.6984127163887024,0.5426666736602783,0.8971914649009705,0.8324446082115173,0.369251012802124,0.7765011191368103,0.6983333230018616
18,0.8276800513267517,0.7733891010284424,9.999999747378752e-05,0.45402100682258606,0.705894947052002,0.5488333106040955,0.8982519507408142,0.8034443259239197,0.384804368019104,0.715285062789917,0.6816666722297668
19,0.8339143395423889,0.7782780528068542,9.999999747378752e-05,0.44846606254577637,0.7127727270126343,0.5608333349227905,0.9005801677703857,0.8257780075073242,0.35876864194869995,0.7657757997512817,0.687666654586792
20,0.837314784526825,0.78125,9.999999747378752e-05,0.44348853826522827,0.7171280980110168,0.5676666498184204,0.8953799605369568,0.8128889203071594,0.37868642807006836,0.7361809015274048,0.6836666464805603
21,0.8391959071159363,0.7800279855728149,9.999999747378752e-05,0.4405486583709717,0.7131960988044739,0.5688333511352539,0.9050140976905823,0.8243332505226135,0.3514193594455719,0.7533023953437805,0.70333331823349
22,0.8395507335662842,0.7808334231376648,9.999999747378752e-05,0.44079890847206116,0.7144646048545837,0.5705000162124634,0.8988211750984192,0.831333339214325,0.3797580897808075,0.7762863636016846,0.6940000057220459
23,0.8436603546142578,0.7835279107093811,9.999999747378752e-05,0.4346987307071686,0.7152358293533325,0.5824999809265137,0.9025103449821472,0.8215555548667908,0.3683718144893646,0.7534545660018921,0.690666675567627
24,0.8492792248725891,0.789194643497467,9.999999747378752e-05,0.42885473370552063,0.7260428667068481,0.5903333425521851,0.9095390439033508,0.8384444713592529,0.3537735044956207,0.7727593779563904,0.7300000190734863
25,0.851478099822998,0.7897502183914185,9.999999747378752e-05,0.42674702405929565,0.7240821123123169,0.5965833067893982,0.9066641330718994,0.7889999747276306,0.40922069549560547,0.6950052976608276,0.6539999842643738
26,0.8518845438957214,0.7910281419754028,9.999999747378752e-05,0.4239928722381592,0.7245460748672485,0.6019166707992554,0.9114591479301453,0.8278888463973999,0.352887898683548,0.7591997385025024,0.7083333134651184
27,0.8566333651542664,0.7971107363700867,9.999999747378752e-05,0.4209965765476227,0.7361697554588318,0.6099166870117188,0.906052827835083,0.8148890137672424,0.38810497522354126,0.734035074710846,0.6973333358764648
28,0.856838047504425,0.7930557727813721,9.999999747378752e-05,0.41820022463798523,0.7269552946090698,0.6072499752044678,0.9089021682739258,0.8342224359512329,0.3711814880371094,0.7696709632873535,0.7173333168029785
29,0.8669254183769226,0.802638828754425,4.999999873689376e-05,0.4039660096168518,0.7418239116668701,0.6256666779518127,0.9154638648033142,0.8280000686645508,0.35639986395835876,0.7527855038642883,0.7206666469573975
30,0.8699731826782227,0.8073057532310486,4.999999873689376e-05,0.4020901024341583,0.7467589378356934,0.6384166479110718,0.9146556854248047,0.8228889107704163,0.3701953887939453,0.7442668676376343,0.7139999866485596
31,0.8698804378509521,0.8051113486289978,4.999999873689376e-05,0.4010556936264038,0.7435020804405212,0.6340833306312561,0.9142227172851562,0.8248888254165649,0.36416926980018616,0.7477383613586426,0.7163333296775818
32,0.8718093037605286,0.8088057637214661,4.999999873689376e-05,0.39781948924064636,0.7481330633163452,0.6428333520889282,0.9145881533622742,0.8154443502426147,0.3818204700946808,0.7335193753242493,0.7009999752044678
33,0.872741162776947,0.8083886504173279,4.999999873689376e-05,0.3962828516960144,0.7483933568000793,0.640500009059906,0.9185799956321716,0.8440001606941223,0.3335873484611511,0.7784368395805359,0.7436666488647461
34,0.8741686940193176,0.8105553984642029,4.999999873689376e-05,0.39478054642677307,0.750774621963501,0.6461666822433472,0.9171354174613953,0.8236667513847351,0.3709641993045807,0.746081531047821,0.7139999866485596
35,0.8761139512062073,0.8104446530342102,4.999999873689376e-05,0.39230573177337646,0.7489898204803467,0.6487500071525574,0.9182246327400208,0.8324444890022278,0.3575814664363861,0.7601115703582764,0.7266666889190674
36,0.8790922164916992,0.8164723515510559,4.999999873689376e-05,0.3878691792488098,0.7573732733726501,0.6612499952316284,0.9128645062446594,0.8098888993263245,0.4042772352695465,0.724486231803894,0.6933333277702332
37,0.878063976764679,0.8131110072135925,4.999999873689376e-05,0.39056941866874695,0.7522005438804626,0.6551666855812073,0.9222251772880554,0.8531112670898438,0.3253336250782013,0.797096312046051,0.750333309173584
38,0.8809299468994141,0.8169441819190979,4.999999873689376e-05,0.3841422200202942,0.7578646540641785,0.6625000238418579,0.9215097427368164,0.836333155632019,0.3477618098258972,0.7666783332824707,0.7316666841506958
39,0.8806264400482178,0.8145277500152588,4.999999873689376e-05,0.38534536957740784,0.754081130027771,0.6582499742507935,0.9212942123413086,0.8412221074104309,0.3397153317928314,0.7759044766426086,0.7363333106040955
40,0.8801962733268738,0.8149166703224182,4.999999873689376e-05,0.38597726821899414,0.7554321885108948,0.6576666831970215,0.9201261401176453,0.8513333201408386,0.33885452151298523,0.793639600276947,0.7486666440963745
41,0.881942093372345,0.8155832290649414,4.999999873689376e-05,0.38322582840919495,0.7563354969024658,0.6590833067893982,0.9237338900566101,0.8595554828643799,0.3172551989555359,0.8056337833404541,0.762666642665863
42,0.8823835849761963,0.8184170126914978,4.999999873689376e-05,0.3825940489768982,0.7618134617805481,0.6623333096504211,0.9239740371704102,0.8398889303207397,0.3363514542579651,0.7751500010490417,0.7319999933242798
43,0.8840779662132263,0.8171110153198242,4.999999873689376e-05,0.3791882395744324,0.7571699619293213,0.6644166707992554,0.9261757731437683,0.8571112751960754,0.3138885200023651,0.7988144755363464,0.7636666893959045
44,0.8857749104499817,0.8196107745170593,4.999999873689376e-05,0.37585440278053284,0.7619908452033997,0.6672499775886536,0.9194938540458679,0.8190000057220459,0.3908970057964325,0.7379382252693176,0.7086666822433472
45,0.8858354687690735,0.8213610649108887,4.999999873689376e-05,0.3767242431640625,0.7655698657035828,0.668916642665863,0.925743043422699,0.8563332557678223,0.3214431703090668,0.7976979613304138,0.762333333492279
46,0.8877420425415039,0.8219444751739502,4.999999873689376e-05,0.37383684515953064,0.7649791240692139,0.6724166870117188,0.926691472530365,0.8445554971694946,0.3353519141674042,0.7761297225952148,0.75
47,0.8863469958305359,0.8212224245071411,4.999999873689376e-05,0.3765377700328827,0.7618599534034729,0.6744999885559082,0.9262354969978333,0.8488889932632446,0.32436618208885193,0.7873160243034363,0.7490000128746033
48,0.8873184323310852,0.8198890089988708,4.999999873689376e-05,0.3749864101409912,0.76176917552948,0.668833315372467,0.9248414039611816,0.8419999480247498,0.336862713098526,0.77414870262146,0.7426666617393494
49,0.8884797096252441,0.821583092212677,4.999999873689376e-05,0.3727799355983734,0.7640874981880188,0.6723333597183228,0.9243211150169373,0.8524444103240967,0.3264558017253876,0.7925122380256653,0.7549999952316284
